rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
11|Not yet recruiting|Video-Enhanced Care Management for Medically Complex Veterans||Behavioral:Caremanagementviavideoconference;  Behavioral:Caremanagementviatelephonecalls|Interventional||U.S. Fed|Acceptability of care management program for medically complex Veterans with CI;  Perceived value of video-enhanced care management for medically complex Veterans with CI;  Feasibility of care management program for medically complex Veterans with CI;  Usability of video-enhanced care management for medically complex Veterans with CI|80|NCT02962687|February 2017
12|Recruiting|Pediatric Metabolism and Microbiome Repository|||Observational||Other / NIH|The measure of abnormal metabolism using a sample biorepository;  The measure of healthy metabolism using a sample biorepository|350|NCT02959034|September 2016
13|Recruiting|Brief Mood Enhancement Intervention||Behavioral:Reward;  Behavioral:Approach|Interventional||Other|Change in burnout as measured by the School Burnout Inventory total score;  Change in stress as measured by the Perceived Stress Scale total score;  Change in mastery as measured by the Pearlin Personal Mastery Scale total score;  Change in avoidance as measured by the Brief Experiential Avoidance Questionnaire total score;  Change in mood as measured by the Positive and Negative Affect Schedule total scores for Positive and Negative Affect;  Change in reward as measured by the Environmental Reward Observation Scale total score;  Change in behavioral activation as measured by the Activation sub-scale of the Behavioral Activation for Depression Scale;  Change in functional impairment as measured by the Modified Work and Social Adjustment Scale total score;  Change in quality of life as measured by the WHOQOL-BREF total score;  Change in depression symptoms as measured by the General Depression scale of the Inventory of Depression and Anxiety Symptoms;  Change in mastery as measured by the average of the daily Importance ratings of activities (0-10) on the Daily Activities Monitoring Form;  Change in avoidance as measured by the total score of the Avoidance/Rumination sub-scale of the Behavioral Activation for Depression Scale;  Change in environmental reward as measured by the average of the daily Pleasure ratings of activities (0-10) on the Daily Activities Monitoring Form|102|NCT02954965|November 2016
14|Recruiting|Mobile Health Application for Family and Behavioral Health Provider Communication||Behavioral:Connectdmobileapplication|Interventional||Industry / Other|Working Alliance Inventory (Short Form Therapist);  ParticipantTreatmentParticipation;  WorkingAllianceInventory(Client);  PTSDKnowledgeScale;  ZaritBurdenInterview;  DimensionsofAngerReactions;  Clinician-Administered PTSD Scale for DSM5 (CAPS 5)|120|NCT02954146|November 2016
15|Not yet recruiting|Exploring the Impact of Perioperative Galacto-Oligosaccharides (GOS) on Stress Anxiety and Cognition||Drug:Galacto-Oligosaccharide;  Drug:Maltodextrin(Placebo)|Interventional||Other|ChangeinWakingSalivaryCortisol;  Changesinpainperception;  Changesincognition;  Changesinperceivedstress;  Suicidalideationandbehavior|8|NCT02953691|November 2016
16|Recruiting|The Feasibility and Efficacy of an Extremely Brief Mindfulness Practice||Other:Thirty-SecondMindfulnessPractice;  Other:Three-MinuteMindfulnessPractice|Interventional||Other|Change in trait mindfulness as measured by the Five Facet Mindfulness Questionnaire (Baer et al. 2006);  Change in perceived stress as measured by the Perceived Stress Scale (Cohen Kamarck &amp; Mermelstein 1983);  Change in anxiety symptoms as measured by the GAD-7 Generalized Anxiety Disorder Scale (Spitzer Kroenke Williams &amp; L&#246;we 2006);  Change in mood as measured by the Positive and Negative Affect Schedule (Watson Clark &amp; Tellegen 1988);  Change in quality of life as measured by the Medical Outcomes Study 36-Item Short-Form Health Survey (Ware &amp; Sherbourne 1992);  Change in depression symptoms as measured by the PHQ-8 Patient Health Questionnaire - depression module (Spitzer Kroenke &amp; Williams 1999);  Group difference in intervention&apos;s acceptability as measured by qualitative questions;  Group difference in adherence as measured by frequency of daily brief mindfulness practice use;  Group difference in continued brief mindfulness practice use as measured by follow-up question;  Change in daily mood measured on a visual analogue scale;  Change in daily stress level measured on a visual analogue scale;  Change in empathy as measured by the Interpersonal Reactivity Index (Davis 1980) and four questions adapted from Hawk Fischer and Van Kleef (2011);  Change in perspective taking as measured by questions adapted from Hawk Fischer and Van Kleef (2011)|60|NCT02953444|November 2016
17|Recruiting|Probiotics in Occupational Shift Workers||DietarySupplement:Probiotic;  DietarySupplement:Placebo|Interventional||Other|VisceralFat;  Ratio of fat in the abdominal region vs. hip region;  BodyFat;  Leanbodymass|60|NCT02951689|September 2016
18|Recruiting|Protein Supplementation Post Bariatric Surgery||DietarySupplement:Protein|Interventional||Other|Number of patients reporting gastrointestinal effects during use of supplementation;  Number of shakes consumed out of the total number of shakes provided;  Bodyfat;  Leanbodymass;  Metabolism(restingmetabolicrate);  Functionalfitness(sittostandtest)|60|NCT02951663|October 2016
19|Recruiting|Pompe Telemedicine Developmental Study|||Observational||Other|Relationship between daily behaviors in school-aged children with Pompe disease and observed speech patterns as assessed by speech pathology.;  Document the developmental outcomes and cognitive function of individuals with Pompe disease treated with long-term ERT through school-age (ages 6-18) as assessed by PPVT-4.;  Document the developmental outcomes and language abilities of individuals with Pompe disease treated with long-term ERT through school-age (ages 6-18) as assessed by CELF-5.;  Document the developmental outcomes and cognitive function of individuals with Pompe disease treated with long-term ERT through school-age (ages 6-18) as assessed by Woodcock-Johnson Test of Achievement.;  Document the developmental outcomes and cognitive function of individuals with Pompe disease treated with long-term ERT through school-age (ages 6-18) as assessed by Leiter.;  Relationship between daily behaviors in school-aged children with Pompe disease and development as assessed by Conners.;  Relationship between daily behaviors in school-aged children with Pompe disease and development as assessed by BRIEF-P.;  Relationship between daily behaviors in school-aged children with Pompe disease and development as assessed by Child Behavior Checklist.|20|NCT02950298|December 2015
20|Not yet recruiting|Targeted Therapy in Treating Patients With Incurable Non-Small Cell Lung Cancer With Genetic Mutations||Drug:Chemotherapy;  Biological:Immunotherapy;  Other:LaboratoryBiomarkerAnalysis;  Biological:Nivolumab;  Biological:Pembrolizumab;  Drug:TargetedMolecularTherapy;  Drug:TyrosineKinaseInhibitor|Interventional|Phase 2|Other / NIH|Objective response rate in patients with high PD-L1 expressing cancers after failure of targeted therapy defined as complete or partial response according to the investigator&apos;s assessment;  Incidence of adverse events measured using Common Terminology Criteria for Adverse Events version 4.0;  Incidence of mutations in secondary genes for patients with PD-L1 expression &lt; 50%;  Objective response rates for patients without high PD-L1 expressing cancers;  Objective response rates for the combined population to historical controls receiving second or third line targeted agents;  Overallsurvival;  Rate of tobacco use and mutation burden based on PD-L1 expression at time of progression;  Smokingstatusdefinedascurrentformernever|75|NCT02949843|December 2016
21|Not yet recruiting|Comparison of PIEB vs CEI for Labor Analgesia||Other:ProgrammedIntermittentEpiduralBolus;  Other:ContinuousEpiduralInfusion;  Drug:Ropivacaine;  Drug:Fentanyl|Interventional|Phase 4|Other|Volume of local anesthetic received through Patient Controlled Epidural Analgesia (PCEA) per hour-computerized information;  Total required local anesthetic required per hour- computerized information;  Time to first patient controlled epidural analgesia (PCEA) bolus- computerized information;  Laborpainscores-patientquestionnaire;  Degree of motor blockade measured as lowest recorded modified Bromage score;  Modeofdelivery;  Patient controlled epidural analgesia (PCEA) attempts-computerized information;  Patient controlled epidural analgesia (PCEA) ratio of successful attempts to unsuccessful attempts - computerized information;  Frequencyofhypotension-physiologicalparameter;  Durationoffirstandsecondstagesoflabor;  Level of patient satisfaction- patient questionnaire|120|NCT02949271|November 2016
22|Recruiting|Effects of IV-Administered Ca-DTPA and Zn-DTPA To Treat Patients With Gadolinium Deposition Disease||Drug:CalciumDTPA;  Drug:ZincDTPA|Interventional|Phase 1 / Phase 2|Other|Change from Baseline to Month 1 in Gd level from 24-hour urine samples following Calcium DTPA administration.;  Change from Baseline to Month 1 in Gd level from 24-hour urine samples following Zinc DTPA administration.;  Change from Baseline to Month 2 in Gd level from 24-hour urine samples following Calcium DTPA administration.;  Change from Baseline to Month 2 in Gd level from 24-hour urine samples following Zinc DTPA administration.;  Change from Baseline to Month 3 in Gd level from 24-hour urine samples following Calcium DTPA administration.;  Change from Baseline to Month 3 in Gd level from 24-hour urine samples following Zinc DTPA administration.;  ChangefrombaselinetoMonth1inthePainScore;  ChangefrombaselinetoMonth2inthePainScore;  ChangefrombaselinetoMonth3inthePainScore;  ChangefrombaselinetoMonth6inthePainScore;  Change from baseline to Month 12 in the Pain Score;  Change in American Chronic Pain Association (ACPA) Quality of Life (QOL) score from baseline to Month 1;  ChangeinACPAQOLscorefrombaselinetoMonth2;  ChangeinACPAQOLscoreatMonth3;  ChangeinACPAQOLscoreatMonth6;  ChangeinACPAQOLscoreatMonth12|20|NCT02947022|October 2016
23|Not yet recruiting|Optimal Volume Rate and Interval of Bolus Nerve Catheters for Shoulder Surgery||Drug:Ropivacaine|Interventional|Phase 4|Other|Optimal Volume of Ropivacaine 0.2% bolus via interscalene catheter;  Optimal Rate of Ropivacaine 0.2% administration bolus via interscalene cathter|99|NCT02946268|November 2016
24|Not yet recruiting|A MAD Study of TT301/MW189 in Healthy Volunteers||Drug:Cohort1-TT301/MW189;  Drug:Cohort2-TT301MW189;  Drug:Cohort3-TT301/MW189;  Other:Cohort1Placebo;  Other:Cohort2Placebo;  Other:Cohort3Placebo|Interventional|Phase 1 / Phase 2|Other|Adverseevents;  Pharmacokinetics-Cmax;  Pharmacokinetics-Tmax;  Pharmacokinetics-AUC;  Pharmacokinetics-T1/2;  Pharmacokinetics-Kel|24|NCT02942771|January 2017
25|Recruiting|Magnetic Resonance Imaging of Human Biometrics|||Observational||Industry|CollectHighQualityMRIData|30|NCT02942667|August 2016
26|Recruiting|Trial of Anastrozole and Palbociclib in Metastatic HER2-Negative Breast Cancer||Drug:anastrozole;  Drug:Palbociclib|Interventional|Phase 2|Other / Industry|Responserate|40|NCT02942355|November 2016
27|Recruiting|Collection of Biological and Environmental Samples and Clinical Data From Anonymous Adult Men and Women for Quality Control and Methods Development and Evaluation (ASCA)|||Observational||NIH|The samples and clinical data will be used to ascertain whether data and sample collection processing techniques and testing methods are sufficiently valid and precise to be used in specific epidemiologic studies.|5000|NCT02940015|October 2016
28|Not yet recruiting|Full-arch Monolithic Zirconia ISFDP Follow up||Device:Monolithiczirconiaprosthesis|Observational||Other|PercentIncidenceofProstheticComplications;  PercentIncidenceofBiologicalComplications;  Quantitativemeasurementofbonelevel;  Patientself-reportedOHIP-14satisfactionscores;  Patientself-reportedQoLFAST-10scores|60|NCT02931968|October 2016
29|Recruiting|Leukemia Stem Cell Detection in Acute Myeloid Leukemia||Procedure:AllogeneicHCT;  Drug:Consolidationchemotherapy|Interventional|Phase 3|Other|2yearrelapsefreesurvival(RFS);  1yearRFS;  RFS in favorable risk AML patients treated with consolidation chemotherapy;  RFS in intermediate risk AML patients treated with HCT;  RFS in favorable risk AML patients with detectable LSCs;  RFS in intermediate risk AML patients with undetectable LSCs;  Overallsurvival;  2 year RFS based on LSC detection at CR1 time point;  1 year RFS based on LSC detection at CR1 time point;  RFS in unfavorable risk AML patients based on LSC detection at CR1 time point;  comparison of RFS using different timepoints of the LSC assays in the transplant versus non-transplant populations;  ChangeinLSCstatus|400|NCT02927938|September 2016
30|Not yet recruiting|Neuroimaging Reward Behavioral Treatment and Smoking Cessation||Drug:NicotinePatch;  Drug: SPECTRUM Nicotine Research Cigarettes (.03 mg);  Behavioral:BehavioralActivation;  Behavioral:SupportiveCounseling|Interventional|Phase 1 / Phase 2|Other / NIH|Change in BOLD response to smoking and monetary reward;  DaystoRelapse|100|NCT02927847|November 2016
31|Recruiting|Efficacy and Safety of INCB054828 in Subjects With Advanced/Metastatic or Surgically Unresectable Cholangiocarcinoma Who Failed Previous Therapy||Drug:INCB054828|Interventional|Phase 2|Industry|Objective response rate (ORR) in subjects with FGFR2 translocations based on RECIST v1.1;  ORR in subjects with FGF/FGFR alterations other than FGFR2 translocations all subjects with FGF/FGFR alterations and subjects negative for FGF/FGFR alterations based on RECIST v1.1;  Progression-freesurvivalbasedonRECISTv1.1;  Safety and tolerability of INCB054828 as assessed by the frequency duration and severity of adverse events|100|NCT02924376|October 2016
32|Recruiting|Empowered With Movement to Prevent Obesity and Weight Regain||Behavioral:Weightloss;  Behavioral:Exercise;  Behavioral:Sitless|Interventional||Other|ChangeinBodyweight|180|NCT02923674|November 2016
33|Recruiting|Assessment of Infection Control Practice Efficiency and Health Economics of Sheathed Versus Standard Cystoscopy||Device:EndoSheathCST-5000Scope;  Device:OlympusViseraEliteOTV-S190Scope|Interventional|Phase 4|Other / Industry|TheChangeinBacteriuria|60|NCT02922868|March 2016
34|Not yet recruiting|Feasibility and Smokers&apos; Reactions to DNA Feedback||Behavioral:standardhealthinformation;  Behavioral: standard health information plus info. on DNA damage;  Behavioral: Subjects will review standard health information and information on DNA damage plus pictures of their DNA damage|Interventional||Other|Degree of participant understanding of materials to be measured by a survey;  Percentage of subjects who show up to the sessions;  Extent to which participants believe the feedback to be accurate;  Degree of participant understanding of materials to be measured by an interview;  Extent to which participants believe the feedback to be trustworthy;  Effect size of the changes in coherence between the control and biomarker arm from baseline to three months post-intervention on;  Effect size of the change in risk appraisals between the control and biomarker arm from baseline to three months post-intervention on;  Effect size of participant motivation to quit smoking between the control and biomarker arm from baseline to three months post-intervention on;  Effect size of plans to quit smoking between the control and biomarker arm from baseline to three months post-intervention on;  Effect size of mean levels of smoking between the control and biomarker arm at three months post-intervention;  Effect size of the number of quit attempts between the control and biomarker arm at three months post-intervention;  Effect size of the quit rate between the control and biomarker arm at three months post-intervention|100|NCT02922790|November 2016
35|Recruiting|An Evaluation of a Clinical Algorithm With Turbo-Power Following Treatment of Specific Morphologies||Device:LaserAtherectomy|Observational||Industry|Reductionofstenosis|60|NCT02921542|August 2016
36|Recruiting|Effects of Omega-3 Fatty Acids in Ambient Air Pollution Exposure in Healthy Adults||DietarySupplement:omega-3fattyacids|Observational||U.S. Fed|heartratevariability;  endothelialcellfunction;  diametersofretinalarteriesandveins;  pulmonaryfunctionindices;  bloodbiomarkers|60|NCT02921048|September 2016
37|Not yet recruiting|TMS Modulation of Insula-related Brain Networks.02||Device:transcranialmageneticstimulation|Interventional||Other|Change in functional connectivity strength measured with functional magnetic resonance imaging|60|NCT02919423|December 2016
38|Not yet recruiting|A Study of Etirinotecan Pegol (NKTR-102) Versus Treatment of Physician&apos;s Choice (TPC) in Patients With Metastatic Breast Cancer Who Have Stable Brain Metastases and Have Been Previously Treated With an Anthracycline a Taxane and Capecitabine||Drug:NKTR-102;  Drug:Eribulin;  Drug:Ixabepilone;  Drug:Vinorelbine;  Drug:Gemcitabine;  Drug:Paclitaxel;  Drug:Docetaxel;  Drug:Nab-paclitaxel|Interventional|Phase 3|Industry|OverallSurvival(OS)ofPatients;  Progression-Free Survival (Outside the Central Nervous System);  Progression-Free Survival in Brain Metastasis (PFS-BM);  To compare the Objective Response Rates (ORR) from NKTR-102 treatment with that of TPC;  TocomparetheClinicalBenefitRate(CBR);  TocomparetheDurationofResponse(DoR);  Compare Health-Related Quality of Life (HRQoL) using the European Organisation for Treatment of Cancer (EORTC) Quality of Life Core 30 (QLQ-C30) module with the brain neoplasms 20-question (BN-20) subscale.;  Compare Health-Related Quality of Life (HRQoL) using the the EuroQoL 5D (EQ-5D-5L&#8482;);  Compare Health-Related Quality of Life (HRQoL) using the Brief Fatigue Inventory (BFI);  MagnitudeofClinicalBenefit;  Maximum observed serum concentration (Cmax) of NKTR-102;  Time of maximum observed serum concentration (Tmax) of NKTR-102;  Area Under the serum Concentration time curve in the dosing interval (AUCtau) of NKTR-102;  Half-lifeof(t1/2)ofNKTR-102;  Number of participants with adverse events as assessed by Common Terminology Criteria for Adverse Events (CTCAE) v4.3|350|NCT02915744|October 2016
39|Not yet recruiting|The Utility of NIOM During LITT for Refractory MTLE||Procedure:monitoringbydepthelectrode|Interventional||Other|fractional decrement in interictal epileptiform discharges (ID) from pre- to post-ablation;  Surgical complications associated with intraoperative monitoring electrodes and recording;  Epilepsysurgeryoutcome|20|NCT02913742|November 2016
40|Not yet recruiting|Effect of Gamma Tocopherol Enriched Supplementation on Response to Inhaled O3 Exposure||Drug:gammatocopherol;  Drug:Placebo|Interventional|Phase 2|Other / NIH|changeinsputum%PMNs|32|NCT02911688|September 2016
41|Not yet recruiting|Sulforaphane for the Treatment of Young Men With Autism Spectrum Disorder||Drug:Sulforaphane;  Drug:Placebo|Interventional|Phase 2|Other|Change in Social Responsiveness Scale-2 (SRS-2) total scores from baseline to weeks 4 8 12 and 16.;  Change in SRS-2 subscale scores (Social Awareness Social Cognition Social Communication Social Motivation and Restricted Interests/ Repetitive Behaviors) from baseline to weeks 4 8 12 and 16.;  Change in Aberrant Behavior Checklist (ABC) subscale scores (Social Withdrawal Hyperactivity Inappropriate Speech Stereotypy and Irritability) from baseline to weeks 4 8 12 and 16.;  Change in Clinical Global Impression-Severity (CGI-S) scores from baseline to weeks 4 8 12 and 16.;  Differences in Clinical Global Impression- Improvement (CGI-I) scores between treatment arms at weeks 4 8 12 and 16.;  Change in Repetitive Behavior Scale-Revised (RBSR) total scores from baseline to weeks 4 8 12 and 16.;  Complete Blood Count (CBC) with differential change in values from baseline to 12 weeks;  Liver function tests (alanine transaminase aspartate transaminase total bilirubin) change values from baseline to 12 weeks;  Serum chemistries (sodium potassium chloride bicarbonate Blood Urea Nitrogen creatinine calcium magnesium phosphorous glucose) change in values from baseline to 12 weeks.;  Thyroid Stimulating Hormone (TSH) change in values from baseline to 12 weeks.;  Vital signs (weight height blood pressure and heart rate) actual values at each time point measured and change in values from Baseline to Weeks 4 8 12 and 16.;  Change in the concentration of sulforaphane metabolites (dithiocarbamates) in overnight voided urine samples from baseline to week 12 the end of the active treatment phase.|54|NCT02909959|November 2016
42|Recruiting|A Pilot Study of Nocturnal Hypoglycemia Prevention in Type 1 Diabetes Using the Vigilant Diabetes Management Companion||Device:VigilantDiabetesManagementApplication|Interventional||Industry / Other|Reduction in the aggregate rate of nocturnal biochemical severe hypoglycemia in the Vigilant period versus the Baseline period as measured by meter or logged blood glucose values (mg/dL).;  Reduction in the aggregate rate of nocturnal hypoglycemia in the Vigilant period versus the Baseline period as measured by meter or logged blood glucose values (mg/dL).;  An aggregate (total study population) reduction in the rate of mild hypoglycemia (biochemical and logged) as measured by home blood glucose values &lt;70 mg/dL at 3 months compared to the monthly rate of hypoglycemia in the Baseline period.;  An aggregate reduction in the rate of biochemical severe hypoglycemia as measured by home blood glucose values &lt;40 mg/dL during months 1-3 compared to the monthly rate of biochemical severe hypoglycemia in the Baseline period.;  An aggregate reduction in average HbA1will be measured at baseline using DCA 2000 or equivalent NGSP- certified point-of-care method or local laboratory at 3 months compared to HbA1c levels obtained at study initiation.;  An aggregate reduction in the survey self-reported rate of use of; 1) Glucagon 2) Emergency medical services for hypoglycemia and 3) Hospital urgent care or clinic visits for hypoglycemia or associated with hypoglycemia care visits.;  An aggregate reduction in the mean glycemic variability as measured by monthly ADRR (Average Daily Risk Range) calculated based on downloaded meter download data;  An aggregate (total study population) reduction in the LBGI and HBGI as measured by percent of readings in and out of range calculated based on downloaded blood glucose meter download data.;  Reduction in reported fear of hypoglycemia as compared to baseline Fear of Hypoglycemia Fear Survey. The Hypoglycemia Fear Survey II (HSF II) will be used.;  Improvement in self-reported lost work productivity as a result of hypoglycemia. Individuals will complete a questionnaire about lost work days as a result of hypoglycemia at baseline and at 3 months.;  Improvement in self-reported psychosocial self-efficacy as compared to baseline measured using the Diabetes Empowerment Scale Short Form (DES-SF).|24|NCT02906891|May 2016
43|Not yet recruiting|Combination Nicotine Patch / Lorcaserin for Smoking Cessation||Drug:lorcaserin;  Drug:nicotinepatch;  Drug:placebolorcaserin|Interventional|Phase 2|Other / NIH|Time-to-lapse;  SmokingWithdrawal;  SmokingAbstinence;  Tolerability;  WeightGain;  6-monthSmokingAbstinence;  Percentage of Change in Ad libitum Smoking at End of Week 2;  Adherence|300|NCT02906644|September 2016
44|Enrolling by invitation|Goals for Reaching Optimum Wellness (GROWell)||Other:GROWell|Interventional||Other|FeasibilityoftheGROWellintervention;  AcceptabilityoftheGROWellintervention;  Efficacy- change in dietary components from Baseline to 37 Weeks Gestation|50|NCT02904473|October 2016
45|Recruiting|An Observational Study of Post-cesarean Delivery Respiratory Patterns Using a Non-invasive Minute Ventilation Monitor (Exspiron &#8482; System)|||Observational||Other / Industry|Changeinminuteventilation;  BerlinQuestionnaire;  STOP-BANGQuestionnaire;  EpworthSleepinessScale|100|NCT02903173|February 2015
46|Recruiting|Comparison of 1000 Hertz (Hz) Burst and Standard Spinal Cord Stimulation in Chronic Pain Relief||Device:Spinalcordstimulator|Interventional|Phase 4|Other|NPRS;  OswestryDisabilityIndex;  PatientsGlobalImpressionofChange;  PreferabilitySurvey|22|NCT02902796|September 2016
47|Not yet recruiting|VAL-1221 Delivered Intravenously in Ambulatory and Ventilator-free Patients With Late-Onset Pompe Disease||Drug:VAL-12211mg/kg;  Drug:VAL-12213mg/kg;  Drug:VAL-122110mg/kg|Interventional|Phase 1 / Phase 2|Industry|Incidencesoftreatment-emergentadverseevents;  Immunogenicity outcome measure - incidences of anti-VAL-1221 antibodies;  Immunogenicity outcome measure - incidences of GAA antibodies;  Pharmacokinetics Outcome Measure of VAL-1221 given IV;  Pharmacodynamics Outcome Measure of VAL-1221 given IV|12|NCT02898753|November 2016
48|Recruiting|Sleep Dysfunction and Neurocognitive Outcomes in Adolescent ADHD|||Observational||Other / NIH|Objectivesleepassessment;  Neurocognitiveassessment;  Executive functioning as measured by neurocognitive assessment|60|NCT02897362|August 2016
49|Recruiting|PrEP SMART Phase I Trial||Behavioral:PrEPSmart|Interventional|Phase 1|Other / Industry|Feasibility as measured by the average number of times per day participants initiate an interaction with PrEP Smart;  Feasibility as measured by the average number of times per day subjects respond to a prompt from PrEP Smart over the course of the four week period.;  Barriers to adherence following missed doses as measured by daily PrEP Smart assessment.;  Acceptability as measured by questionnaire that includes questions about satisfaction and likelihood of recommending to others on a Likert scale of 1 to 4.;  Acceptability as measured by an interview that will be conducted by the Principal Investigator.;  Barriers to adherence will be measured by the number of times it was taken outside of a 1 hour window;  Barriers to adherence will be measured by self-report via the PrEP Smart application.|20|NCT02895893|July 2016
50|Recruiting|Patient-Empowered Mobile Technology in Hospitalized Patients: Technology Resources to Understand Pain Assessment in Patients With Pain (TRU-PAIN)||Device:SMARTapp|Interventional||Other|time to discontinuation of the IV PCA with opioid medication;  timeofmovementduringhospitalization;  magnitudeofchangeinpainscores;  patient/family satisfaction scores as measured by feasibility survey|100|NCT02895841|August 2016
51|Not yet recruiting|Preparatory Work to Assess Adherence to Oral Chemotherapy|||Observational||Other|Patient Demographic and Health Behaviors Questionnaire;  BriefMedicationQuestionnaire(BMQ);  SingleItemAdherenceMeasure1;  SingleItemAdherenceMeasure2;  REALM-SF;  MedicationsAdherenceReasonsScale(MARS)|120|NCT02895542|October 2016
