id,airline,date,location,rating,cabin,value,recommended,review
10017,Delta Air Lines,3-Jun-14,Canada,9,Economy,4,YES,Considering how Delta Airlines was an American Air carrier I initially wasn't expecting much and imagined that service would be mediocre sort of like Air Canada but to my surprise my Delta experience was great! Staff were polite the flights were punctual with my returning flight from MSP-YVR being about 15 minutes late due to a computer that needed replacement. Other than the fact that they should really replace/refurbish those A319s my flight was very pleasant.
10018,Delta Air Lines,2-Jun-14,USA,9,Economy,5,YES,Travelled MSP-LHR AMS-MSP in May 2014. Flights were on time. Flight attendants responsive enough and food was okay. Economy comfort seats provide decent legroom. I travel with Delta quite a bit and rarely have problems. They get you to your destination reliably for a decent price.
10019,Delta Air Lines,29-May-14,USA,7,Business,2,YES,JFK-LAX on a 757-200 in Business on May 17 angled seats with ample leg room excellent service then onward to HNL on a 757-300 in First: seats comparable to Premium Economy as far as the leg room goes poor recline the service was excellent though large screen IFE good food and drinks. May 25 HNL-LAX on an aged 767-200 in First same poor seat recline but good food and service old-style IFE. May 26 LAX-NYC on a 767-300ER Business Elite outstanding newly refurbished cabin flat bed seats outstanding food and service. The only complaint - never - ending turbulence but that was not airline's fault of course. To sum up Delta's First Class is not worth the money I will stick to premium economy instead in the future and the Business Elite is simply outstanding for a Domestic flight.
10020,Delta Air Lines,28-May-14,UK,9,Economy,3,YES,Third long haul flight with Delta LHR-ATL-TPA-ATL-LHR all flights on time first transatlantic flight they run out of food selections so only had pasta left which looked rather unappetising. Good selection of movies and games on the long haul flights seats were comfortable with good legroom. My only gripe is Atlanta airport why do you have to queue to go through security after getting off an international flight to connect with your next plane not Deltas fault but never had to do this before.
10021,Delta Air Lines,26-May-14,UK,2,Economy,3,NO,LHR-JFK (Virgin) then JFK-DTW with Delta Connection (Returned on the same route and carriers 10 days later. Held up at JFK both ways for 12 hours due to weather not Delta's fault but our return connection to LHR was rebooked without our knowledge due to our late departure from DTW. This resulted in a rush to try and make the connection only to be told we were off the flight and rebooked for the following morning. Delta then did not issue us with the correct tickets resulting in a 4am nailbiter with Virgin check in as they tried to figure our what Delta had done. I am trying to plan my next trip to DTW to avoid Delta connections due to this.
10022,Delta Air Lines,24-May-14,USA,7,Economy,3,NO,Travelled to London with my mom JFK-LHR via a Boeing 767-400ER on DL 403 which was an evening flight. Everything went very pleasant from food service to inflight entertainment seat comfort and cabin crew as well as cabin cleanliness. My complain would be our return flight which was rather a Boeing 767-300 aircraft. The Cabin was not clean and very narrow bathrooms have some odor and seats were comfortable even for a seven hour flight. Everything else went ok the crew looked exhausted and smiled less they were friendly and very caring. Also to mention food portions are quite small and selections must be thought carefully. If it was not for their 767-300 plane everything went very well. I prefer better other airlines notably American British Airways and Virgin Atlantic as a better option for economy especially with AA's B777-200ER which was their major upgrade.
10023,Delta Air Lines,20-May-14,USA,4,Economy,2,NO,"Very disappointed with Delta Airlines. I try to plan and budget for everything and was very irritated when I checked two bags for $25 each - Delta Advertises on the back of your ticket ""Your first checked bag is always free"" (within their recommended size and under 50lbs checked their website prior to our trip to avoid charges). I don't care if you charge me for my luggage but seriously don't advertise one thing and say another. If you book your tickets 6 months in advance and you pick your seats on that airplane and the plane is empty when you pick them you should at least be able to sit next to your significant other - but don't bother its a waste of time. Pleased with the flight crew and flight attendants kudos to them for positive attitudes. However I don't think I will be flying with delta anytime soon."
10024,Delta Air Lines,20-May-14,USA,2,Economy,1,NO,"Boy are we never going to fly Delta ever again. Our first experience with Delta involved our honeymoon - they overbooked our flight to go to Jackson Hole so they re routed us to a different airport and set us up with a car service to take us to Jackson Hole (this delayed our trip about 5-6 hours and we were driving through Yellowstone Park in pitch black to our cabin). They also gave us Delta vouchers to put towards a ticket for our next flight. So we bought tickets to visit family overseas later with our vouchers and it was the biggest mistake of our lives. Our connecting flight was delayed because of weather- but they just kept pushing the time every 10 minutes making you think you would be able to really make it to our connecting international flight at JFK. We got on the plane 5 hours late and made it to the gate at JFK for our flight about 10 minutes before it was scheduled to depart. Well they didn't let us board the plane because they closed the door already (ok fine they said it was a security issue) so we watched our plane take off without us and mind you its already midnight at this point. So we are directed by the staff to go to the Delta counter so we did that. There was one woman at the desk that was eager to leave and she said that the next flight was overbooked by 16 people (no surprise we noticed that Delta tends to overbook their flights and basically makes people take one of their stupid vouchers just to re-experience Delta again) and that she could put us on a flight with one connection - but we would basically be getting to our destination 3 days later than we were originally supposed to. We are on vacation time off work and are going overseas to a country that is far away to see close family so every minute counts - she handed us what looked to be tickets but later we found out were just itineraries. So we could not go back through TSA to the ""nicer"" part of the terminal where there were comfortable chairs and food because we didn't have official tickets. Panic set in and were stranded at the airport with only 2 stalls available to go to the bathroom and no where to comfortably sit. My mom was able to get tickets for us on the flight that was supposedly overbooked and she was also told that we would get reimbursed for a hotel room should we choose to get one. There were no Delta agents at airport that could help us with anything. We contacted Delta to try to get reimbursed and we were sent in circles no manager available to help etc kept telling us to visit the Delta site and use the number there - even though we already did that they accused us of basically making up the fact that someone told us we would get reimbursed? So after 2 hours of getting no where we were fed up. Many other people I know have had bad experiences with Delta they warned us before we booked with them. I heard many people at the various airports we were at saying they will never fly Delta again and I agree."
10025,Delta Air Lines,19-May-14,Canada,9,Economy,5,YES,YUL-JFK-NRT-HKG. It was my first time flying Delta. I usually fly Japan Airlines or any other Asian airlines because of all the bad experiences I had with US based Airlines. From the check in agent I was greeted with a big smile. The planes were clean flight attendants full of energy and smile. To my surprise the captain apologize for the slight delay we had from JFK to Narita. That is something you hear only on Asian Airlines. The seats were comfortable for economy and the food was great!
10026,Delta Air Lines,18-May-14,Canada,1,Economy,1,NO,Worst experience ever! Cancelled our connecting flight out of JFK leaving us stranded at their hell hole of a terminal for 20 hours and telling us that the next available flight was almost 3 days later. Employees spent their time sleeping chatting with one another or doodling on notepads. Bathrooms were disgusting. Every employee gave us different and conflicting information or showed no interest in helping us at all. Lost our bag and then told us that they wouldn't ship it to us we had to drive back to our final airport destination and pick it up. I will never fly with Delta ever again.
10027,Delta Air Lines,18-May-14,USA,7,First Class,4,YES,Return leg of a paid first class ticket LAS-ATL-GSO. Seemed like circumstances were lining up to give my wife and I a major headache - Bad weather on the East Coast late (mechanical not weather) departure from LAS tight connection in ATL and no seats ex LAS going anywhere East. Helpful agent and supervisor booked hotel in ATL in case we misconnected but we didn't need to have worried a fine tailwind got us to ATL in time for our connection. Newer planes on these 2 legs; the aircraft on the LAS-ATL leg even had a rudimentary IFE system. However my joy was short lived as my headphone jack didn't work and I was denied the opportunity to watch reruns of a few TV programs. Food was fair (basically the same as the outbound journey) seat comfortable service attentive ground staff throughout helpful and efficient. I'll stick with Delta through this purple patch they are enjoying.
10028,Delta Air Lines,18-May-14,USA,2,Economy,2,NO,"All flights delayed some due to weather others to ""no staff for flight crew"". Missed all connection flights. Help desk staff extremely rude and condescending especially in JFK. Will never ever fly this airline again. Info given by crew 10 min before landing late regarding new gate and terminal incorrect."
10029,Delta Air Lines,17-May-14,USA,1,Business,1,NO,"I just tried Delta's ""Business Elite"" from JFK to BOG on a 737-700 and what a ripoff! These ""premium"" seats offer a pitch of just 37 inches (that's less than JetBlue's premium economy); they also recline quite a bit and the result is a wedge experience which made for one of the most uncomfortable flights I can remember. I couldn't even open my computer until my neighbor decided to join his wife in much more comfortable bulkhead coach. Soft service was fine and dinner actually surprisingly good accompanied by a decent German Riesling. But seating comfort is still paramount and this was unacceptable."
10030,Delta Air Lines,17-May-14,USA,7,Business,2,NO,The gate experience is good with staff pointing the way. This is especially good at Paris DeGaulle where there are endless gates and lines and confusion. Once on board the experience lessens as the attendants seemingly are frequently tired and occasionally indifferent. I have never been hot (not warm but hot as in a cabin temp of the high 70's) on an overseas flight. A request to a attendant brought the equivalent of a sleepy shrug. The food is edible and the presentation tries to be quality but it falls flat with the quality of the food and the occasional rush to serve and clear. I hate the business class pods - ok for the sleeper or someone doing work but impossible to talk or interact at all with a companion. Baggage handling is excellent for sky priority. Delta clubs vary from seedy (JFK) to nice. Nothing as nice as the Air France clubs at Paris CDG.
10031,Delta Air Lines,17-May-14,USA,7,First Class,4,YES,Paid for 1st class GSO-ATL-LAS. Delta continues to do a good job in their attempt to be a cut above the other Legacy airlines? Flights were on time check in and boarding easy food good. Service prompt and efficient if not jaunty. The flaw in the program in my view is the age and features of the equipment. DL's policy is to fly them until they run out of hours and our sky veterans had amassed 51 years between them! No IFE on either flight an ugly and not overly comfortable first class seat and 25 year old bathrooms - my ongoing pet peeve with DL.
10032,Delta Air Lines,13-May-14,Canada,10,Economy,5,YES,I flew from YYZ to Detroit to Seoul I was sceptical at first flying Delta because of all the negative reviews. I am very pleased with the whole experience. Enough leg room great entertainment system and great food. I love the snack bags in the middle of the night and bottles of water. Little details really makes a huge difference the ear plug and eye cover warm wipes and cold wipes after boarding and when you wake up. Even the washroom is roomy. Flight attendants are efficient. I will definitely try to fly Delta whenever I can.
10033,Delta Air Lines,9-May-14,UK,9,Economy,4,YES,Flew PDX to AMS. Flight departed slightly late but actually arrived early. At check-in I enquired as to whether I could pay to upgrade myself to business class but they said they don't have such a program for last minute upgrades which was rather odd as other airlines regularly do it for a fee. Having said that in many ways I was glad I didn't as my normal economy seat was extremely comfy with loads of personal space. Delta has the best inflight entertainment system I have used with a massive selection of entertainment. Having said that they really need to do something about their meals as they were awful and almost as bad as Air Canada. I didn't eat my main course as it smelt awful food but was supposed to be beef stroganoff. The food was the only thing to let Delta down as their cabin crew were friendly and efficient making sure we had regular supplies of water to keep us hydrated. Id definitely fly Delta again but would order a special meal to see if said meal would be better.
10034,Delta Air Lines,7-May-14,USA,10,Economy,5,YES,Flying to Detroit From Tampa on a 737-800. Service on the plane: it was a good experience. Flight Attendants were polite and cared about me and other passengers (unlike United and BA). Food was only pretzels and cookies and a drink of choice (it was only a 2hr flight). Seats were comfortable. Service in the airport-Good service no long lines and friendly airport crew! I enjoyed Delta and will fly them again!
10035,Delta Air Lines,6-May-14,USA,6,Economy,3,YES,"DCA-ATL-DCA MD-90; Economy. ""We love to fly and it shows"" used to be Delta's slogan. Standards have slipped a lot since then. DCA counter bag drop-off was prompt after online check-in and the outbound flight was on time. It is amazing how many seats they have crammed into this aircraft recently to make money from Economy Comfort seats. The seat itself is reasonably comfortable for about two hours but the reduced legroom is awful. I am average height so I feel for taller people. Both planes were very clean and appeared well-maintained for 18+ year-old aircraft. A drink and mini pretzles were served on both flights. ATL bag drop-off after online check-in was quite quick. The inbound flight was delayed by 75 minutes but they made-up 25 minutes of that lost time. Flight attendants outbound were friendlier than those inbound. Overall this type of service will be acceptable for two to three hour flight segments and I will use Delta again."
10036,Delta Air Lines,5-May-14,USA,5,Economy,3,NO,We flew from Atlanta to Portland the check in process was chaotic and disorganized. We had checked in online but had not printed our boarding passes. One representative told us to leave the line and finalize the check in at the kiosk. We got out of line to do this and the kiosk was out of paper we got back in line and the same rep told us to go back to the kiosk - we refused. There was only one kiosk working at this time! The rep at the counter was much better informed and completed our check in within a couple of minutes. This kind of disorganization caused at least one customer I talked with to miss her flight! In addition there is so little leg room that it is ridiculous and so uncomfortable. I did not feel like the staff were very friendly or helpful. On a positive note our plane landed on time and our luggage was there too.
10037,Delta Air Lines,5-May-14,UK,8,Business,5,YES,Flew MAN-ATL-HNL and LIH-LAX-ATL-MAN in Business Elite/First. Outbound flatbeds on both legs although I found the 'herringbone' 330 better than the 'offset' 767. Food and drink good on both but I noticed that Delta have stopped their wonderful hot nuts on Business Elite (MAN-ATL) but they were still served on First (ATL-HNL). Return LIH-LAX was delayed 3.5 hours due to computer failure at LAX. Delta contacted us (unlike United) so we were able to delay our arrival at Kauai Airport (LIH). The 757 on this route was very tatty with a number of broken footrests and ought to be retired. We made the connection at LAX and ATL and arrived at MAN 30 minutes early. Refreshments on the two First segments were acceptable and excellent on Business Elite. The staff on all flights were very attentive.
10038,Delta Air Lines,5-May-14,USA,0,Business,3,NO,Flight 387 from GUA to LAX on 4/26/2014. Delta procedures at GUA appalling! Each time I fly back on this route things get worse. It appears that you can no longer check in at a counter. After taking our 6 bags to the check in counter we were told to go back to kiosks to do our check in while the Delta employees sat around. If this was a domestic flight I would say there would be no issue. The fact that you have to attempt scanning of passports makes things a bit more difficult especially if you're not used to it. This process took an additional 20 minutes for the 4 of us. As the check in area isn't air conditioned the extra wait time left us sweaty and fed-up by the time we made it to the gate. Plane was late coming in. While waiting in the boarding line we looked to find that 3 of 4 seats had been changed. We went back to the ticket desk at the gate and fortunately were able to get our old seats back. By the time we got onto the plane and took our seats it was apparent that Delta lets babies travel in the first class cabin. The next 6 hours on the plane were frequently interrupted by a two year old that couldn't be controlled by her mother. The flight attendants tried to pacify the child but stopped short of requesting the mother take her child back to economy with the rest of her family. The screaming child aside cabin crew service was great. My four year old was again able to visit the cockpit but found little to do afterwards a this 757-200 only had communal IFE. Either watch the screen in front of the plane or watch nothing else: none of the music stations worked either. Food so-so but drink/snack runs frequent. If a drink/snack was requested in-between nothing was too much trouble. The final act of the Delta ground crew was to bus us to the Bradley Terminal after landing. It took 2 hours from the time the plane landed until we got our bags and I was surprised they were still on the carousel once clearing customs. After all most other international flights come through this terminal. The morning flight always has customs clearance at Terminal 5. If flying Delta was all one had to do it might not be such a bad experience as the flight crews are great. It's the pre post and sometime in-flight policies that Delta management have dreamt up that will make me never fly Delta on this route again. We paid for these tickets as opposed to upgrading so to say we were let down is an understatement. Next time it will be Taca/Avianca.
10039,Delta Air Lines,5-May-14,USA,2,Premium,1,NO,May 1 2014 Washington DC (DCA) to Minneapolis St. Paul (MSP). I bought an economy class ticket but Delta gave me an economy plus seat. Economy plus had a little more legroom and padding than economy but the seat recline was almost the same as in economy - I couldn't tell the difference. Based on this experience I would not pay extra for economy plus. Delta charged $2.00 for headsets with which to listen to a movie displayed on overhead screens situated every 4-6 rows. I didn't buy the headsets or food so I can't comment on catering or entertainment. Boarding has turned into an unpleasant experience passengers crowding the gate so they can board first and secure overhead bin space. My flight experience deteriorates each time I fly Delta. My spouse is a Platinum frequent flyer which is the only reason I patronize this airline -- no cost award tickets. I can't wait to fly Southwest or Jet Blue (domestic) or Air France KLM Lufthansa international. It seems as though the smiling CEO on the inflight video has nothing but contempt for his economy class passengers.
10040,Delta Air Lines,4-May-14,UK,3,Economy,2,NO,Flight DL0187 Date: Apr 25 2014. More expensive than other airlines. Lunch was served at 10am GMT 2 hours after departure! They had a lot of time to serve it later as we still had more than 5 hours ahead (going to Boston MA USA). You had to pay for entertainment. Many empty seats in first row but you cannot take them without paying extra! Attendant was chatting too much and very loudly and I couldn't sleep. Many broken seats won't come back to straight vertical position. They didn't have any diet or light soda but Fresca.
10041,Delta Air Lines,4-May-14,Switzerland,10,Economy,5,YES,Flight 67 to Atlanta connecting to flight 1384 to Orlando on April 28. My mother returned home from Zurich to Orlando after visiting us in Europe. Unfortunately while here she spent time in the hospital. Various Delta employees with whom we were in contact were extremely helpful in rebooking flights and assisting her before during and after her flights including wheelchair support. She enjoyed the flight (in economy comfort) the service the food etc. As a family we have flown Delta during many years and continue to be impressed with the airline more so recently with the many improvements they have and are implementing. We will happy continue to recommend Delta airlines.
10042,Delta Air Lines,4-May-14,USA,5,First Class,0,NO,Just returned from: IND to SJU via ATL. First class on IND-ATL segments (MD 90) and so-called Business Elite on ATL-SJU segments (737-800). On all segments aircraft interiors were clean and well maintained and cabin attendants were good. Boarding on all flights was total chaos and food on the ATL-SJU segments was inedible. No food on other segments. Seats not what one would call comfortable or roomy. Not worth the price paid.
10043,Delta Air Lines,4-May-14,USA,1,Economy,1,NO,April 27th overnight flight from San Francisco (SFO) to Washington Reagan (DCA) with stopover in Detroit (DTW). Economy seats on flight from SFO to DTW were extremely uncomfortable: hardly any legroom - very little padding no padding on armrests and minimal recline. These are the worst airline seats I've experienced. Delta offered a thin blanket but no pillow. I was unable to sleep. The economy seats from DTW to DCA had slightly more recline and were therefore tolerable. Delta didn't offer food for purchase on these flights and I didn't pay the $2.00 for a headset on the SFO to DTW flight so I am unable to rate food or entertainment (I gave Delta one star for each).
10044,Delta Air Lines,2-May-14,UK,0,Economy,1,NO,The food was disgusting and the fact that I was travelling from the UK to the USA and there was no entertainment was horrendous. My kids had to look at the front of a seat for 8 hrs and my daughter had to sit on my lap but she could not sit properly because there was no space. When we got given food it kept going everywhere because we were so squashed. The loos were dirty and small. The staff were no good they didn't help out. I wouldn't recommend them.
10045,Delta Air Lines,1-May-14,Canada,2,Economy,2,NO,Flew Atlanta to Seattle. It is a 5 hour flight. If you want to eat you have to buy your meal however they do not have enough sandwiches so when the cart got to the end of the plane there was nothing left. If you want to watch a movie you have to pay $6.00. It costs $30.00 to check each bag. Just be aware that the price you pay for your ticket is just to get you from a to b just like greyhound.
10046,Delta Air Lines,30-Apr-14,USA,10,First Class,5,YES,Flew from LAX-ATL on B777-200 then ATL-CMH on A319. Both legs were great and crew very attentive. First class seat on the B777 was a comfortable seat if somewhat difficult to settle into at first. The A319 was uncomfortable and took a while to find that special spot to get comfortable. All considered the service I got for what I paid was excellent. Bags were first off the carousel and waiting when I got there which I liked a lot. Only issue was the miserable check in lady in LAX. DL also need to re think their lounge policy for First class passengers.
10047,Delta Air Lines,29-Apr-14,Canada,2,Economy,1,NO,The review is for Delta which was our return flight home from Pittsburgh. We were to leave on Flight DL 5217 on 20 April. Delta Airlines has a poor fleet of plains. They were under staffed and had 2 mechanical breakdowns and were unable to find us other flights. We needed to be home for surgery the next day and paid extra to fly out on Easter. Because we booked with Expedia they said that they Delta was not to blame (they blamed United). Worst case of passing the buck ever! (Only bright spot were the front line staff - like the desk agents who remained 3 hours extra to rebook all the passengers).
10048,Delta Air Lines,29-Apr-14,UK,10,Economy,4,YES,MAN-Atlanta Atlanta-Memphis Memphis-Las Vegas Las Vegas-Salt Lake City Salt Lake City-Memphis Memphis- Detroit Detroit-Amsterdam April 2014. All of our America trip was with Delta and everyone was excellent in every way. From check in to boarding to seat leg room were superb. The pilot and cabin crew were so friendly the captain thanked everyone on each flight personally standing at the entrance with the cabin crew. 7 out of our 8 holiday flights were with delta and we had no problems with any one was with KLM see that review.
